Parent_Fund_Code,Master_Fund_Code,Trade_Date,Currency,Trans_Type,Amount
="12127",="12127",20250410,CDD,PT ,100
="12127",="12727",20250410,CDD,PT ,1312461.55
="12127",="12727",20250410,CDD,RT ,1313294.58
="12127",="18311",20250410,CDD,RT ,616.39
="12128",="12128",20250410,CDD,PT ,25
="12128",="12128",20250410,CDD,RT ,4836.5
="12128",="12728",20250410,CDD,PT ,95
="12128",="12728",20250410,CDD,RT ,2286.32
="12129",="12129",20250410,CDD,RT ,242.38
="12129",="12729",20250410,CDD,RT ,9208.1
="12130",="12130",20250410,CDD,PT ,50
="12130",="12130",20250410,CDD,RT ,709.65
="12130",="12730",20250410,CDD,PT ,114681.47
="12130",="12730",20250410,CDD,RT ,118028
="12130",="18329",20250410,CDD,RT ,916.06
="12131",="12731",20250410,CDD,RT ,418.33
="12132",="12132",20250410,CDD,PT ,50
="12132",="12132",20250409,CDD,RT ,3376.23
="12132",="12132",20250410,CDD,RT ,722.44
="12132",="12132",20250409,CDD,WSR,3376.23
="12132",="12732",20250409,CDD,RT ,3042.74
="12132",="12732",20250410,CDD,RT ,4073.78
="12132",="12732",20250409,CDD,WSR,3042.74
="12132",="18303",20250410,CDD,RT ,2000
="12133",="12133",20250410,CDD,PT ,50
="12133",="12133",20250410,CDD,RT ,391.04
="12133",="12733",20250410,CDD,RT ,4739.89
="12133",="18304",20250410,CDD,RT ,1096.54
="12134",="12134",20250410,CDD,PT ,30
="12134",="12134",20250410,CDD,RT ,1121.72
="12134",="12734",20250409,CDD,RT ,187.5
="12134",="12734",20250410,CDD,RT ,1899.02
="12134",="12734",20250409,CDD,WSR,187.5
="12135",="12135",20250410,CDD,PT ,187.5
="12135",="12135",20250410,CDD,RT ,352.16
="12135",="12735",20250410,CDD,RT ,15187.32
="12135",="18306",20250410,CDD,RT ,1232.01
="12136",="12136",20240911,CDD,RT ,812.209999999999
="12136",="12136",20250410,CDD,RT ,126.77
="12136",="12736",20250410,CDD,PT ,50
="12136",="12736",20250409,CDD,RT ,19507.81
="12136",="12736",20250410,CDD,RT ,141769.69
="12136",="18307",20250410,CDD,RT ,1832.03
="12137",="12137",20250410,CDD,PT ,50
="12137",="12137",20250410,CDD,RT ,305.94
="12139",="12739",20250410,CDD,PT ,1299537.35
="12139",="12739",20250410,CDD,RT ,1301854.81
="12141",="12741",20250409,CDD,RT ,654.6
="12141",="12741",20250410,CDD,RT ,2522.24
="12141",="12741",20250409,CDD,WSR,654.6
="12144",="12744",20250410,CDD,RT ,1078.3
="12145",="12745",20250410,CDD,RT ,137.4
="12150",="12150",20250410,CDD,PT ,25
="12150",="12150",20250410,CDD,RT ,5998.48
="12150",="12750",20250410,CDD,PT ,674222.37
="12150",="12750",20250409,CDD,RT ,18133.7
="12150",="12750",20250410,CDD,RT ,708825.78
="12150",="12750",20250409,CDD,WSR,926.36
="12150",="18347",20250410,CDD,RT ,11224.65
="12151",="12151",20250410,CDD,RT ,342.22
="12151",="12751",20250410,CDD,RT ,1278.8
="12152",="12752",20250409,CDD,RT ,543.46
="12152",="12752",20250410,CDD,RT ,170.69
="12152",="12752",20250409,CDD,WSR,543.46
="12155",="12755",20250410,CDD,RT ,3090.68
="12157",="12757",20250410,CDD,RT ,69.65
="12158",="12758",20250410,CDD,RT ,565.81
="12160",="12760",20250410,CDD,RT ,1341.93
="12161",="12761",20250410,CDD,RT ,1461.66
="12162",="12762",20250410,CDD,RT ,24.19
="12163",="12763",20250409,CDD,RT ,1050
="12163",="12763",20250410,CDD,RT ,1521.22
="12163",="12763",20250409,CDD,WSR,1050
="12173",="12173",20250410,CDD,RT ,187.34
="12173",="12773",20250410,CDD,PT ,75
="12173",="12773",20250410,CDD,RT ,900.56
="12174",="12174",20250410,CDD,PT ,95
="12174",="12174",20250410,CDD,RT ,5783.63
="12174",="12774",20250410,CDD,PT ,145
="12174",="12774",20250409,CDD,RT ,3754.6
="12174",="12774",20250410,CDD,RT ,8263.62
="12174",="12774",20250409,CDD,WSR,3754.6
="12174",="18314",20250410,CDD,RT ,616.39
="12175",="12175",20250410,CDD,PT ,25
="12175",="12175",20250410,CDD,RT ,3840.62
="12176",="12776",20250410,CDD,RT ,60994.64
="12177",="12777",20250410,CDD,RT ,185.69
="12180",="12180",20250410,CDD,RT ,1584.44
="12181",="12781",20250410,CDD,RT ,232.38
="12182",="12782",20250410,CDD,RT ,355.29
="12183",="12783",20250410,CDD,RT ,1187.18
="12188",="12788",20250410,CDD,RT ,422.75
="12191",="12191",20250410,CDD,PT ,100
="12191",="12791",20250410,CDD,PT ,300
="12191",="12791",20250410,CDD,RT ,416.3
="12193",="12793",20250410,CDD,PT ,300
="12195",="12795",20250410,CDD,RT ,122.81
="125  ",="125",20250410,USD,PT ,14500
="125  ",="125",20250410,USD,RT ,3100
="125  ",="5510",20250410,USD,DR ,20.24
="125  ",="5510",20250409,USD,PT ,42645.66
="125  ",="5510",20250410,USD,PT ,56827.36
="125  ",="5510",20250409,USD,RT ,1516699.09
="125  ",="5510",20250410,USD,RT ,764.49
="125  ",="80382",20250410,USD,DR ,1011.75
="125  ",="80382",20250410,USD,PT ,42495.69
="125  ",="80382",20250410,USD,RT ,294360.36
="125  ",="90382",20250410,USD,DR ,3661.27
="125  ",="90382",20250410,USD,FEE,-4.47
="125  ",="90382",20250410,USD,RT ,120176.31
="1316 ",="1316",20250409,CDD,RT ,2112.68
="1317 ",="1317",20250409,CDD,RT ,2969.73
="1318 ",="1318",20250409,CDD,RT ,47616.89
="1330 ",="2645",20250409,CDD,RT ,251.55
="1330 ",="2645",20250409,CDD,WSR,251.55
="1330 ",="90045",20250409,CDD,RT ,17712.59
="1330 ",="90045",20250409,CDD,WSR,17712.59
="139  ",="139",20250410,CDD,RT ,281.23
="150  ",="150",20250409,CDD,PT ,6404.44
="150  ",="150",20250410,CDD,PT ,3628.83
="150  ",="150",20250409,CDD,RT ,989.88
="150  ",="150",20250410,CDD,RT ,4550.53
="150  ",="150",20250409,CDD,WSP,6404.44
="150  ",="150",20250409,CDD,WSR,989.88
="150  ",="178",20250409,CDD,PT ,1137.69
="150  ",="178",20250410,CDD,PT ,12500
="150  ",="178",20250409,CDD,RT ,1423.86
="150  ",="178",20250409,CDD,WSP,1137.69
="150  ",="178",20250409,CDD,WSR,1423.86
="150  ",="18143",20250410,CDD,FEE,-75.6
="150  ",="18143",20250410,CDD,PT ,200
="150  ",="18143",20250409,CDD,RT ,251.31
="150  ",="18143",20250409,CDD,WSR,251.31
="150  ",="5315",20250410,CDD,PT ,307394.23
="150  ",="5315",20250409,CDD,RT ,255131.05
="150  ",="5315",20250410,CDD,RT ,19374.51
="150  ",="636T8",20250409,CDD,RT ,38.83
="150  ",="636T8",20250409,CDD,WSR,38.83
="16673",="16673",20250410,CDD,PT ,2551.36
="16673",="16673",20250409,CDD,RT ,4391.39
="16673",="16673",20250410,CDD,RT ,10679.37
="16673",="16673",20250409,CDD,WSR,4391.39
="16675",="16675",20250410,CDD,PT ,9951.65
="16675",="16675",20250409,CDD,RT ,3131.13
="16675",="16675",20250410,CDD,RT ,20276.19
="16675",="16675",20250409,CDD,WSR,3131.13
="17652",="18652",20250409,CDD,RT ,7023.76
="17652",="18652",20250410,CDD,RT ,31.85
="17652",="18652",20250409,CDD,WSR,7023.76
="17653",="13653",20250409,CDD,RT ,67075.98
="17653",="13653",20250410,CDD,RT ,33289.25
="17653",="13653",20250409,CDD,WSR,67075.98
="17653",="15453",20250410,CDD,PT ,37.76
="17653",="15453",20250409,CDD,RT ,1228280.87
="17653",="15453",20250410,CDD,RT ,34874.5
="17653",="15453",20250409,CDD,WSR,10707.5
="17653",="15653",20250409,CDD,RT ,291.46
="17653",="15653",20250410,CDD,RT ,17171.46
="17653",="15653",20250409,CDD,WSR,291.46
="17653",="17353",20250409,CDD,RT ,736.6
="17653",="17353",20250409,CDD,WSR,736.6
="17653",="18653",20250409,CDD,PT ,26789.31
="17653",="18653",20250410,CDD,PT ,254148.18
="17653",="18653",20250409,CDD,RT ,478110.85
="17653",="18653",20250410,CDD,RT ,730565.02
="17653",="18653",20250409,CDD,WSP,26789.31
="17653",="18653",20250409,CDD,WSR,478110.85
="17654",="13654",20250409,CDD,RT ,2196.61
="17654",="13654",20250410,CDD,RT ,435.31
="17654",="13654",20250409,CDD,WSR,2196.61
="17654",="15454",20250225,CDD,FEE,-167.82
="17654",="15454",20250409,CDD,RT ,675248.12
="17654",="15454",20250410,CDD,RT ,23.24
="17654",="15654",20250410,CDD,PT ,18764.75
="17654",="15654",20250410,CDD,RT ,717.07
="17654",="18654",20250409,CDD,PT ,1526.6
="17654",="18654",20250410,CDD,PT ,35602.45
="17654",="18654",20250409,CDD,RT ,103092.13
="17654",="18654",20250410,CDD,RT ,80473.64
="17654",="18654",20250409,CDD,WSP,1526.6
="17654",="18654",20250409,CDD,WSR,103092.13
="17656",="13456",20250410,CDD,RT ,6210.12
="17656",="13656",20250409,CDD,RT ,6778.66
="17656",="13656",20250410,CDD,RT ,425.59
="17656",="13656",20250409,CDD,WSR,6778.66
="17656",="15456",20250409,CDD,PT ,160983.64
="17656",="15456",20250410,CDD,PT ,36835.18
="17656",="15456",20250409,CDD,RT ,84710.47
="17656",="15456",20250410,CDD,RT ,42029.34
="17656",="15456",20250409,CDD,WSR,20396.56
="17656",="15656",20250410,CDD,PT ,3612.44
="17656",="15656",20250410,CDD,RT ,5141.05
="17656",="17356",20250409,CDD,RT ,852.8
="17656",="17356",20250409,CDD,WSR,852.8
="17656",="18656",20250409,CDD,PT ,31953.69
="17656",="18656",20250410,CDD,PT ,243801.69
="17656",="18656",20250409,CDD,RT ,76607.89
="17656",="18656",20250410,CDD,RT ,65609.33
="17656",="18656",20250409,CDD,WSP,31953.69
="17656",="18656",20250409,CDD,WSR,76607.89
="17658",="13658",20250410,CDD,PT ,70000
="17658",="13658",20250410,CDD,RT ,70000
="17658",="15458",20250409,CDD,PT ,160983.64
="17658",="15458",20250410,CDD,PT ,32.88
="17658",="15458",20250409,CDD,RT ,98284.3
="17658",="15458",20250410,CDD,RT ,3326.71
="17658",="15458",20250409,CDD,WSR,33970.4
="17658",="18658",20250409,CDD,PT ,18512.37
="17658",="18658",20250410,CDD,PT ,191232.54
="17658",="18658",20250409,CDD,RT ,38471.2
="17658",="18658",20250410,CDD,RT ,129719.75
="17658",="18658",20250409,CDD,WSP,18512.37
="17658",="18658",20250409,CDD,WSR,38471.2
="17659",="13659",20250410,CDD,PT ,1365.3
="17659",="13659",20250409,CDD,RT ,2071.81
="17659",="13659",20250410,CDD,RT ,3068.33
="17659",="13659",20250409,CDD,WSR,2071.81
="17659",="15459",20250409,CDD,PT ,53661.22
="17659",="15459",20250410,CDD,PT ,18108.83
="17659",="15459",20250409,CDD,RT ,24552.74
="17659",="15459",20250410,CDD,RT ,16594.31
="17659",="15459",20250409,CDD,WSR,3114.77
="17659",="17359",20250409,CDD,RT ,374.2
="17659",="17359",20250409,CDD,WSR,374.2
="17659",="18659",20250407,CDD,PT ,-197.02
="17659",="18659",20250409,CDD,PT ,18186.19
="17659",="18659",20250410,CDD,PT ,78138.54
="17659",="18659",20250409,CDD,RT ,18040.59
="17659",="18659",20250410,CDD,RT ,60506.18
="17659",="18659",20250409,CDD,WSP,18186.19
="17659",="18659",20250409,CDD,WSR,18040.59
="17660",="13660",20250410,CDD,RT ,3860.55
="17660",="15460",20250410,CDD,PT ,1686311.99
="17660",="15460",20250409,CDD,RT ,12172.94
="17660",="15460",20250410,CDD,RT ,34784.58
="17660",="15460",20250409,CDD,WSR,12172.94
="17660",="15660",20250410,CDD,PT ,3620.23
="17660",="17360",20250409,CDD,RT ,911.6
="17660",="17360",20250409,CDD,WSR,911.6
="17660",="18660",20250409,CDD,PT ,14122.83
="17660",="18660",20250410,CDD,PT ,528479.12
="17660",="18660",20250409,CDD,RT ,50008.1
="17660",="18660",20250410,CDD,RT ,97461.39
="17660",="18660",20250409,CDD,WSP,14122.83
="17660",="18660",20250409,CDD,WSR,50008.1
="17662",="13662",20250410,CDD,PT ,2997.18
="17662",="13662",20250409,CDD,RT ,5910.43
="17662",="13662",20250409,CDD,WSR,5910.43
="17662",="15462",20250410,CDD,PT ,4359235.19
="17662",="15462",20250409,CDD,RT ,22510.81
="17662",="15462",20250410,CDD,RT ,30003.8
="17662",="15462",20250409,CDD,WSR,22510.81
="17662",="15662",20250409,CDD,RT ,708.54
="17662",="15662",20250409,CDD,WSR,708.54
="17662",="18662",20250409,CDD,PT ,9183.65
="17662",="18662",20250410,CDD,PT ,166223.51
="17662",="18662",20250409,CDD,RT ,313474.18
="17662",="18662",20250410,CDD,RT ,223127.21
="17662",="18662",20250409,CDD,WSP,9183.65
="17662",="18662",20250409,CDD,WSR,313474.18
="17662",="80567",20250410,CDD,RT ,283.6
="17664",="13664",20250410,CDD,PT ,7054.14
="17664",="15464",20250410,CDD,PT ,15029.94
="17664",="15464",20250410,CDD,RT ,213789.81
="17664",="17364",20250409,CDD,RT ,120
="17664",="17364",20250409,CDD,WSR,120
="17664",="18664",20250409,CDD,PT ,43064.11
="17664",="18664",20250410,CDD,PT ,631297.88
="17664",="18664",20250409,CDD,RT ,11573.58
="17664",="18664",20250410,CDD,RT ,41928.77
="17664",="18664",20250409,CDD,WSP,43064.11
="17664",="18664",20250409,CDD,WSR,11573.58
="17666",="13666",20250410,CDD,PT ,9714.58
="17666",="15466",20250410,CDD,PT ,21913.83
="17666",="15466",20250410,CDD,RT ,301916.41
="17666",="15666",20250410,CDD,PT ,9245.69
="17666",="18666",20250409,CDD,PT ,32280.89
="17666",="18666",20250410,CDD,PT ,231143.83
="17666",="18666",20250409,CDD,RT ,1409
="17666",="18666",20250410,CDD,RT ,47527.75
="17666",="18666",20250409,CDD,WSP,32280.89
="17666",="18666",20250409,CDD,WSR,1409
="17668",="13668",20250410,CDD,PT ,4071.45
="17668",="15468",20250410,CDD,FEE,-101.2
="17668",="15468",20250410,CDD,PT ,23309.77
="17668",="15468",20250409,CDD,RT ,27121.96
="17668",="15468",20250410,CDD,RT ,11179.72
="17668",="15468",20250409,CDD,WSR,27121.96
="17668",="15668",20250410,CDD,RT ,7643.44
="17668",="17368",20250409,CDD,RT ,426.4
="17668",="17368",20250409,CDD,WSR,426.4
="17668",="18668",20250409,CDD,PT ,39590.29
="17668",="18668",20250410,CDD,PT ,178469.42
="17668",="18668",20250409,CDD,RT ,18903.06
="17668",="18668",20250410,CDD,RT ,40701.28
="17668",="18668",20250409,CDD,WSP,39590.29
="17668",="18668",20250409,CDD,WSR,18903.06
="17669",="13669",20250409,CDD,RT ,18730.92
="17669",="13669",20250409,CDD,WSR,18730.92
="17669",="15469",20250410,CDD,PT ,1653.66
="17669",="15469",20250409,CDD,RT ,10584.2
="17669",="15469",20250410,CDD,RT ,22541.95
="17669",="15469",20250409,CDD,WSR,10584.2
="17669",="15669",20250410,CDD,RT ,40232.87
="17669",="17369",20250409,CDD,RT ,140
="17669",="17369",20250409,CDD,WSR,140
